id_cliente,nome_cliente,cpf_cnpj,renda_anual,area_propriedade,score_credito,data_cadastro,segmento
1,Cliente_1,87106192198,158000.9945770032,122.66086432710244,861.2513363429359,2020-08-07 01:55:22.389921,Médio Produtor
2,Cliente_2,76718498185,116664.70446272474,71.2035853941471,387.7703879319653,2023-12-01 01:55:22.389950,Grande Produtor
3,Cliente_3,67077290536,205205.8803970724,34.30043240343976,659.3465050023347,2020-08-17 01:55:22.389958,Pequeno Produtor
4,Cliente_4,29658738239,147953.31302867812,5.549995249042013,877.9536938660941,2021-03-10 01:55:22.389963,Médio Produtor
5,Cliente_5,45503009525,107098.82645371546,136.0892267051478,502.9430254891353,2021-02-25 01:55:22.389967,Pequeno Produtor
6,Cliente_6,13831385198,42354.237938674356,89.12064442273365,557.807724732693,2021-06-23 01:55:22.389971,Médio Produtor
7,Cliente_7,31799887756,131099.5260580852,43.68979598613246,407.1108957358814,2022-03-10 01:55:22.389975,Pequeno Produtor
8,Cliente_8,83123952467,124915.99024895963,132.08570352701972,893.9710400299768,2022-12-01 01:55:22.389978,Grande Produtor
9,Cliente_9,76959533562,40500.333494376915,22.153051513147474,506.7089001416995,2024-01-07 01:55:22.389982,Pequeno Produtor
10,Cliente_10,46654338419,151536.74259653693,25.407850774058396,758.6112084142414,2022-02-03 01:55:22.389986,Pequeno Produtor
11,Cliente_11,65739707208,88598.05053445009,153.36715565437356,758.1805684488385,2023-06-13 01:55:22.389990,Grande Produtor
12,Cliente_12,63398884063,103032.53803878499,18.808306947190175,345.97694690278576,2024-09-23 01:55:22.389993,Grande Produtor
13,Cliente_13,60645508439,98738.16706311813,89.03488842722615,381.1626254774477,2021-09-09 01:55:22.389997,Médio Produtor
14,Cliente_14,11960663145,98468.58589142881,40.99463540376718,698.9494983197917,2024-08-01 01:55:22.390001,Pequeno Produtor
15,Cliente_15,75052603656,134195.7454335087,131.25597291818025,635.2365616500961,2023-02-11 01:55:22.390005,Pequeno Produtor
16,Cliente_16,94143885411,125887.5496774007,82.82388996968625,445.5334971809525,2020-07-23 01:55:22.390008,Pequeno Produtor
17,Cliente_17,42177963914,173931.93523115938,70.69853555665549,795.4766656754564,2023-01-01 01:55:22.390012,Grande Produtor
18,Cliente_18,99041155512,77687.56593478494,72.89473520910671,652.8165912535501,2022-10-11 01:55:22.390016,Pequeno Produtor
19,Cliente_19,43613954342,129455.91367031512,121.82472215256723,383.99611027373453,2023-12-13 01:55:22.390019,Pequeno Produtor
20,Cliente_20,70434550089,121811.94316692397,121.69494761280183,323.87088176782964,2025-04-22 01:55:22.390023,Médio Produtor
21,Cliente_21,96864205202,65306.97598215971,78.72860845059554,790.8895088243113,2024-01-24 01:55:22.390027,Pequeno Produtor
22,Cliente_22,43125354383,113060.0784932058,44.07345050010337,764.397839669139,2025-04-18 01:55:22.390031,Pequeno Produtor
23,Cliente_23,64347633152,72725.47287778975,24.768347759139246,775.4738719128825,2023-12-02 01:55:22.390034,Pequeno Produtor
24,Cliente_24,99504813418,88855.74469433854,77.10037417110004,712.6184824061243,2023-11-10 01:55:22.390038,Pequeno Produtor
25,Cliente_25,62142450961,144749.23249252976,82.88669097056354,760.9271340610035,2021-04-17 01:55:22.390041,Grande Produtor
26,Cliente_26,93045590479,127197.98690916244,129.18942847746183,531.3907082933572,2020-10-28 01:55:22.390045,Pequeno Produtor
27,Cliente_27,17719165917,196340.43485659335,117.15421737331933,389.39995864003174,2021-12-30 01:55:22.390048,Médio Produtor
28,Cliente_28,95315897842,97188.17653544145,109.51236068327337,724.9211291386566,2020-09-02 01:55:22.390052,Grande Produtor
29,Cliente_29,23166451230,134842.55056671248,93.10116800995543,374.36385715054564,2023-04-13 01:55:22.390056,Médio Produtor
30,Cliente_30,56708830707,110626.16384199244,63.26665828072893,647.3353932759121,2022-07-17 01:55:22.390059,Pequeno Produtor
31,Cliente_31,95939243931,91217.90322059416,78.1095135628204,580.5659397065681,2025-05-16 01:55:22.390062,Grande Produtor
32,Cliente_32,46251453270,70532.6697359813,101.41251499766052,785.7764685614854,2023-12-15 01:55:22.390066,Grande Produtor
33,Cliente_33,93944025943,181055.09978867308,55.79599729069665,757.8519416538069,2022-06-09 01:55:22.390069,Pequeno Produtor
34,Cliente_34,71918326831,46175.189639768476,60.04330244933305,637.2271537859115,2023-11-18 01:55:22.390073,Médio Produtor
35,Cliente_35,19607882130,225290.8316629587,99.06708922375279,418.2350929618749,2021-01-21 01:55:22.390077,Pequeno Produtor
36,Cliente_36,85151767006,123064.93419518803,92.99916837277905,364.3969835932454,2022-05-14 01:55:22.390080,Pequeno Produtor
37,Cliente_37,25252484636,20000.0,125.60829328775023,768.624618369734,2024-07-28 01:55:22.390083,Pequeno Produtor
38,Cliente_38,26463123283,128835.04118347043,62.03952868020889,417.7628288403111,2024-10-17 01:55:22.390087,Pequeno Produtor
39,Cliente_39,98752457007,162797.8749348816,47.24771112382632,543.1197874911884,2022-04-17 01:55:22.390090,Pequeno Produtor
40,Cliente_40,71354145018,113257.99311902869,74.21009292877932,808.176259537741,2020-08-21 01:55:22.390094,Pequeno Produtor
41,Cliente_41,33444249081,291871.4199535681,63.85035547673563,706.180700650538,2021-08-17 01:55:22.390097,Pequeno Produtor
42,Cliente_42,37955040216,124300.88986298689,174.78185483853747,722.4346370150959,2021-12-26 01:55:22.390101,Pequeno Produtor
43,Cliente_43,42791117819,84116.19218484827,57.32019526400185,754.3758615743238,2023-10-03 01:55:22.390104,Pequeno Produtor
44,Cliente_44,34140934510,39745.32563465978,139.04058545780214,328.55701082816904,2022-01-01 01:55:22.390108,Pequeno Produtor
45,Cliente_45,44131517797,86934.89092235203,91.51569790939793,446.67813971585997,2021-03-09 01:55:22.390111,Grande Produtor
46,Cliente_46,30553590004,155414.9717138082,65.70984662336969,603.3347865438764,2024-06-05 01:55:22.390115,Médio Produtor
47,Cliente_47,78651714786,101925.31360401132,84.5605663240698,586.7702974372863,2021-11-30 01:55:22.390118,Pequeno Produtor
48,Cliente_48,23916108626,67113.82258072507,47.2990245184231,547.61715358671,2022-07-22 01:55:22.390122,Pequeno Produtor
49,Cliente_49,72594184835,101544.76664353488,129.0267487785425,792.3555503957715,2021-04-28 01:55:22.390125,Médio Produtor
50,Cliente_50,71316102652,103994.59449069163,70.2321770558167,680.8516148909721,2024-06-09 01:55:22.390129,Médio Produtor
51,Cliente_51,33205935094,93754.9839043487,78.25322292772152,301.64374027991346,2023-10-08 01:55:22.390132,Médio Produtor
52,Cliente_52,43596875540,246791.9244462445,126.48104084340292,334.13449496874233,2023-05-13 01:55:22.390136,Grande Produtor
53,Cliente_53,34466917681,132086.92851250616,89.18699460002436,626.6503896496122,2025-06-30 01:55:22.390139,Pequeno Produtor
54,Cliente_54,69981804902,228180.8590253753,134.8268804058601,332.65979912804085,2025-02-13 01:55:22.390143,Pequeno Produtor
55,Cliente_55,24619040440,34473.62511077977,121.77653779496882,783.951208818853,2022-05-14 01:55:22.390147,Médio Produtor
56,Cliente_56,77422148529,112233.69020104012,104.72094817422067,874.9179897316208,2022-03-15 01:55:22.390150,Pequeno Produtor
57,Cliente_57,13507594932,143881.06603966194,161.04637487117958,513.2701362019923,2025-07-09 01:55:22.390154,Pequeno Produtor
58,Cliente_58,88403937565,128042.96163620683,85.22823300819208,592.1907045238238,2021-12-18 01:55:22.390157,Pequeno Produtor
59,Cliente_59,59412497448,97599.7433914918,95.87506552366207,660.470995347109,2022-01-13 01:55:22.390161,Médio Produtor
60,Cliente_60,16567298968,73895.7168618803,29.854552429602002,864.3934093510563,2021-08-06 01:55:22.390164,Pequeno Produtor
61,Cliente_61,31305392126,140134.5903375645,55.721142046062525,666.6599349328092,2025-03-16 01:55:22.390168,Pequeno Produtor
62,Cliente_62,39909342857,136754.92874455533,159.43639685858898,834.6995704920196,2021-03-01 01:55:22.390171,Pequeno Produtor
63,Cliente_63,23733389099,198395.3547380395,126.63558865221627,611.6063925549303,2022-07-29 01:55:22.390175,Pequeno Produtor
64,Cliente_64,16546886735,165155.0866542185,15.091639081962782,386.645146472297,2022-06-16 01:55:22.390178,Pequeno Produtor
65,Cliente_65,28785308356,116695.85285150762,107.59753471496803,412.63012008417337,2025-04-23 01:55:22.390182,Grande Produtor
66,Cliente_66,31154427965,143828.467991145,139.02126756231655,314.41988448363276,2021-07-01 01:55:22.390186,Pequeno Produtor
67,Cliente_67,90873495347,106931.60960112687,179.34347502891774,731.5057726821497,2024-10-26 01:55:22.390190,Pequeno Produtor
68,Cliente_68,72668727708,123852.18403727758,104.12919772355806,695.4176739957504,2022-03-19 01:55:22.390193,Pequeno Produtor
69,Cliente_69,87040323671,245741.9471341613,94.78772036680019,880.2340600650541,2023-11-03 01:55:22.390197,Grande Produtor
70,Cliente_70,70878873652,61738.856348641515,107.48472176004432,471.11869198363195,2021-07-29 01:55:22.390200,Grande Produtor
71,Cliente_71,80289404870,50954.42657023085,121.89217515361578,606.810910267804,2024-06-01 01:55:22.390204,Médio Produtor
72,Cliente_72,40900205140,199422.3355849469,68.93136255965396,356.5909054109984,2021-07-03 01:55:22.390207,Pequeno Produtor
73,Cliente_73,55091217598,102469.71428409961,108.98620500168428,774.2367671990261,2021-10-16 01:55:22.390211,Grande Produtor
74,Cliente_74,53543484512,84136.73562496656,87.56882778509758,599.3812149759802,2024-01-06 01:55:22.390214,Médio Produtor
75,Cliente_75,59916744690,155894.72686749004,70.06005943433343,419.4744794914394,2024-03-10 01:55:22.390218,Pequeno Produtor
76,Cliente_76,42679984109,88969.368500182,89.02718901755298,326.05018740319053,2021-03-21 01:55:22.390221,Médio Produtor
77,Cliente_77,18857393384,71121.51398757916,41.59930952653323,825.9414555928944,2023-05-21 01:55:22.390224,Pequeno Produtor
78,Cliente_78,16232469177,130999.65469581552,128.40122095114322,310.62333951135486,2024-03-21 01:55:22.390229,Médio Produtor
79,Cliente_79,81425487922,195281.00113845896,26.8330418047085,725.253154114603,2021-02-12 01:55:22.390233,Médio Produtor
80,Cliente_80,20025904216,167728.7441164516,78.83228263394442,820.0233483795778,2022-03-06 01:55:22.390236,Pequeno Produtor
81,Cliente_81,75302489593,100991.6540440477,102.7530014237905,761.6048811847465,2022-05-28 01:55:22.390240,Grande Produtor
82,Cliente_82,96772350832,139993.23486743457,127.16642570150157,587.8656696128544,2025-07-02 01:55:22.390243,Médio Produtor
83,Cliente_83,97336989593,124684.98402502095,57.92934041293546,789.2816884713947,2024-07-07 01:55:22.390247,Médio Produtor
84,Cliente_84,73786498998,60337.31794413541,86.00537571501211,556.4668847907432,2023-06-16 01:55:22.390250,Médio Produtor
85,Cliente_85,43674022395,85611.6259916161,51.526141048162415,708.1493803406513,2021-09-19 01:55:22.390254,Médio Produtor
86,Cliente_86,47224415440,158931.6306874454,100.01813276386665,489.1195718077528,2022-07-25 01:55:22.390257,Grande Produtor
87,Cliente_87,64964689471,200137.132173975,101.44116602717926,403.0266940628323,2023-07-21 01:55:22.390261,Pequeno Produtor
88,Cliente_88,44968445287,188560.24464998848,63.1408212441342,471.92996764758857,2025-05-20 01:55:22.390264,Grande Produtor
89,Cliente_89,82659142054,148005.2964456779,83.53828991136156,860.1183442015738,2020-08-17 01:55:22.390268,Pequeno Produtor
90,Cliente_90,69188669799,143418.07787423153,42.20730983489303,614.9240638324356,2025-04-29 01:55:22.390271,Pequeno Produtor
91,Cliente_91,43146612596,71767.03589317345,61.17844502470558,847.7751879330303,2023-11-03 01:55:22.390275,Pequeno Produtor
92,Cliente_92,26456467993,170447.24524685158,115.45761123197427,857.0253646253033,2022-11-14 01:55:22.390278,Médio Produtor
93,Cliente_93,46921124875,135795.3384618148,63.66871896130811,400.6361560970348,2021-02-27 01:55:22.390281,Pequeno Produtor
94,Cliente_94,64417078479,99494.20880489484,90.20079264681607,625.9497578831149,2024-04-28 01:55:22.390286,Médio Produtor
95,Cliente_95,84400508795,91093.76646796358,47.521261325046794,324.60619848161167,2025-05-11 01:55:22.390289,Grande Produtor
96,Cliente_96,89512778479,87233.37540583462,121.08574221238936,435.83212873804644,2021-05-18 01:55:22.390293,Pequeno Produtor
97,Cliente_97,39517544938,105920.63290966337,109.30593599773796,604.1297844105031,2021-03-27 01:55:22.390296,Pequeno Produtor
98,Cliente_98,19567997477,160142.1546557828,78.53617583174061,784.5417665503121,2025-03-30 01:55:22.390300,Pequeno Produtor
99,Cliente_99,55423273075,191735.37930651708,101.09336165879593,748.7756054969987,2022-02-03 01:55:22.390316,Pequeno Produtor
100,Cliente_100,34316580524,124034.70228672212,89.8372581888816,404.19452211506194,2023-05-19 01:55:22.390320,Grande Produtor
101,Cliente_101,89496649836,108560.57447113542,13.115492774339856,802.0958987577162,2021-03-30 01:55:22.390324,Grande Produtor
102,Cliente_102,86377809567,180850.80645927522,94.52593570168317,505.4546141316648,2024-10-23 01:55:22.390327,Pequeno Produtor
103,Cliente_103,78393817173,147140.75987277925,145.76354579313858,487.5475697665462,2022-09-21 01:55:22.390331,Médio Produtor
104,Cliente_104,22918468919,45398.06724342315,13.581363343798316,519.0046640977937,2020-07-22 01:55:22.390334,Médio Produtor
105,Cliente_105,49952459997,123059.49194781073,62.83171555254566,560.0656212599438,2025-04-20 01:55:22.390337,Médio Produtor
106,Cliente_106,45419707062,238418.65965525288,112.28487256168701,875.4806028957768,2022-08-14 01:55:22.390341,Pequeno Produtor
107,Cliente_107,43248084950,104967.4749918486,92.08199980113672,330.6024157914569,2023-09-04 01:55:22.390344,Grande Produtor
108,Cliente_108,29843470737,81164.08997009366,60.024821545681355,689.6036040593731,2024-04-21 01:55:22.390348,Pequeno Produtor
109,Cliente_109,88667334076,154374.55200765817,96.62027336965923,500.65089259981494,2025-04-24 01:55:22.390351,Pequeno Produtor
110,Cliente_110,94355258962,154357.32742538425,36.28973434383451,628.5353724710797,2021-09-20 01:55:22.390356,Pequeno Produtor
111,Cliente_111,40502872643,20247.371439521754,73.97173628865211,561.2570672819415,2021-01-06 01:55:22.390360,Pequeno Produtor
112,Cliente_112,97284669893,85064.12821393512,96.08219861823744,834.0143430436432,2022-03-04 01:55:22.390363,Pequeno Produtor
113,Cliente_113,70671158236,33690.35142780373,37.127495508081964,825.6312057499576,2023-07-19 01:55:22.390367,Pequeno Produtor
114,Cliente_114,53935297099,171821.5658086397,75.39858006918635,894.7099729746607,2025-01-23 01:55:22.390375,Grande Produtor
115,Cliente_115,16008139657,39874.36901939835,39.95612368788177,597.5247357237638,2021-09-05 01:55:22.390379,Grande Produtor
116,Cliente_116,58053244948,88178.9884253109,81.50854388778268,317.77647642047907,2024-05-29 01:55:22.390382,Pequeno Produtor
117,Cliente_117,88924615838,155835.3118305177,57.173775681539894,322.71841817624056,2022-02-01 01:55:22.390386,Médio Produtor
118,Cliente_118,27058841006,111217.8864273313,51.444706351977885,856.159506740562,2022-04-12 01:55:22.390389,Pequeno Produtor
119,Cliente_119,82044242941,144605.519772386,76.82796320381819,599.7410912323206,2022-08-19 01:55:22.390392,Grande Produtor
120,Cliente_120,43554676761,118844.49997851158,116.76059759765982,487.72150820958234,2024-10-21 01:55:22.390396,Pequeno Produtor
121,Cliente_121,72201021022,109113.14103262553,86.31585036542937,575.1282285922493,2024-02-01 01:55:22.390399,Médio Produtor
122,Cliente_122,37757773497,63633.990787758856,122.0819938615567,528.1178467632659,2022-02-26 01:55:22.390403,Pequeno Produtor
123,Cliente_123,38840832310,102091.81867649156,112.53758191527322,302.761823666826,2025-03-06 01:55:22.390407,Pequeno Produtor
124,Cliente_124,78289050671,121450.79357991712,57.923001224408196,575.6530751684552,2024-09-03 01:55:22.390410,Pequeno Produtor
125,Cliente_125,58500450401,161614.98904013788,71.86232930061931,776.3177988827033,2023-08-15 01:55:22.390414,Pequeno Produtor
126,Cliente_126,22793310887,21524.495700731946,60.87839651372898,817.0158489815395,2021-08-14 01:55:22.390417,Pequeno Produtor
127,Cliente_127,80852045438,188713.79547344497,122.4720448988698,881.2930354599812,2022-02-14 01:55:22.390421,Pequeno Produtor
128,Cliente_128,73374821488,152427.96690499384,126.46310026133489,428.2122318433868,2022-04-19 01:55:22.390424,Médio Produtor
129,Cliente_129,99022693377,72207.43568148819,93.65164848155032,899.5300510720544,2022-12-30 01:55:22.390427,Médio Produtor
130,Cliente_130,36775032217,199282.2401482024,56.22516277032265,313.29052247021593,2024-10-28 01:55:22.390432,Pequeno Produtor
131,Cliente_131,67657327200,115750.7580665355,22.090743012714967,654.5078924964946,2024-06-11 01:55:22.390436,Médio Produtor
132,Cliente_132,11561314554,54590.73066231475,17.731111455550334,686.8024440093054,2023-02-06 01:55:22.390439,Médio Produtor
133,Cliente_133,53089451599,64041.7644063434,151.54282573816187,519.2661198575015,2022-11-08 01:55:22.390443,Médio Produtor
134,Cliente_134,73894979934,144726.85801461764,40.7810856215235,533.2716850614473,2024-07-02 01:55:22.390446,Pequeno Produtor
135,Cliente_135,70536550887,122289.94899635414,105.21393664230176,321.606665383363,2024-12-18 01:55:22.390450,Pequeno Produtor
136,Cliente_136,41155854488,123980.02335427738,62.60029996747785,849.1317920541296,2022-12-28 01:55:22.390453,Médio Produtor
137,Cliente_137,51651180196,63996.04623891228,78.56448352600982,431.32476383141847,2021-12-29 01:55:22.390456,Pequeno Produtor
138,Cliente_138,23424507276,71699.69460256377,134.9448909404832,655.9773412887234,2025-04-29 01:55:22.390460,Médio Produtor
139,Cliente_139,49385356503,99057.11285880754,103.3753813803992,671.649528157875,2023-05-15 01:55:22.390463,Grande Produtor
140,Cliente_140,90586133727,108506.06659541691,52.92930476324085,359.4822099812158,2022-05-05 01:55:22.390467,Pequeno Produtor
141,Cliente_141,42655739769,173586.99013148906,79.28196321404997,554.9080379377197,2022-02-13 01:55:22.390470,Médio Produtor
142,Cliente_142,40391230144,132296.3073119027,83.57781076396489,846.8148314077583,2020-10-14 01:55:22.390474,Pequeno Produtor
143,Cliente_143,64588141661,147246.06255930886,155.57760916127145,314.14985594756405,2021-03-28 01:55:22.390477,Pequeno Produtor
144,Cliente_144,92069203167,40817.341058398,1.0,898.539018261482,2025-05-27 01:55:22.390481,Pequeno Produtor
145,Cliente_145,76182248447,123347.50149957463,43.35132713408176,887.2908160672764,2020-08-01 01:55:22.390484,Pequeno Produtor
146,Cliente_146,27185155525,115068.55491853115,83.50727986337925,416.2056898953587,2021-07-07 01:55:22.390488,Pequeno Produtor
147,Cliente_147,68522895803,190939.91387404615,45.03882674521354,413.21169285341176,2025-07-05 01:55:22.390491,Pequeno Produtor
148,Cliente_148,96236484103,78990.06059645832,85.8680076889475,398.386182814456,2021-10-10 01:55:22.390495,Médio Produtor
149,Cliente_149,46101718010,127122.7999464723,52.150982117964844,712.0310284922755,2023-01-31 01:55:22.390498,Pequeno Produtor
150,Cliente_150,85940165705,123154.52620133237,51.22419065086096,773.7213465085397,2022-06-23 01:55:22.390502,Médio Produtor
151,Cliente_151,85246586465,172024.50047971617,49.379998931489276,866.7382991147075,2020-12-21 01:55:22.390506,Médio Produtor
152,Cliente_152,36240790681,206349.65614643507,136.23872407085173,637.8177554799465,2024-11-15 01:55:22.390509,Pequeno Produtor
153,Cliente_153,84699586540,126796.8735122142,99.94437122244551,679.4218951397643,2020-08-25 01:55:22.390513,Médio Produtor
154,Cliente_154,10850857171,135502.32926297985,67.5687332258214,854.7015879901834,2024-12-07 01:55:22.390516,Pequeno Produtor
155,Cliente_155,43982630266,96646.29484809772,136.61100354580907,875.9882751174415,2025-05-05 01:55:22.390520,Pequeno Produtor
156,Cliente_156,44384390043,20000.0,64.37975054873318,522.7533494612273,2022-01-11 01:55:22.390523,Pequeno Produtor
157,Cliente_157,75069806605,89766.98712971815,1.0,659.2644807961842,2023-04-02 01:55:22.390527,Grande Produtor
158,Cliente_158,38783025423,114283.56159171011,109.72371365240602,728.111253891811,2021-02-11 01:55:22.390530,Pequeno Produtor
159,Cliente_159,18329985000,145275.2713024419,126.65085946535318,672.8237022234371,2023-05-08 01:55:22.390534,Médio Produtor
160,Cliente_160,62160225106,20000.0,48.54930188965082,617.7621319897055,2022-11-06 01:55:22.390537,Pequeno Produtor
161,Cliente_161,21734233592,110240.50089000694,79.39793780287776,899.5092788624345,2021-12-22 01:55:22.390541,Médio Produtor
162,Cliente_162,32353464366,167939.46261952468,112.81332347955018,632.4571521476962,2024-08-09 01:55:22.390544,Pequeno Produtor
163,Cliente_163,95270227355,118754.38311614528,76.82966332155348,604.9662094375078,2023-05-25 01:55:22.390548,Médio Produtor
164,Cliente_164,94665989972,89630.12470187606,117.83313640201763,541.8791693660669,2024-06-15 01:55:22.390551,Grande Produtor
165,Cliente_165,86386904379,170291.15273940057,47.791371871079946,338.27508233466676,2021-11-10 01:55:22.390555,Pequeno Produtor
166,Cliente_166,28400856115,155157.7502048777,48.00964642412325,657.0423076565754,2025-05-21 01:55:22.390558,Médio Produtor
167,Cliente_167,83936806730,48686.85802028881,92.02870028239569,605.6283346339122,2024-03-22 01:55:22.390562,Grande Produtor
168,Cliente_168,87906616229,28134.507707711542,1.0,517.034876586998,2021-01-20 01:55:22.390565,Médio Produtor
169,Cliente_169,33867008677,109403.0004429681,105.84402136781259,441.7701093395913,2023-12-28 01:55:22.390569,Pequeno Produtor
170,Cliente_170,78693679544,161316.91240683728,63.4924021620908,496.98378865511864,2021-02-14 01:55:22.390572,Grande Produtor
171,Cliente_171,24699431055,80072.61396802502,61.93362781426204,578.329703848952,2020-09-21 01:55:22.390575,Médio Produtor
172,Cliente_172,47394616746,152823.76121519553,79.66059839106558,811.0457665088486,2025-05-06 01:55:22.390579,Pequeno Produtor
173,Cliente_173,43485017637,144929.639938033,68.5512316683405,620.5562266533045,2023-09-09 01:55:22.390582,Médio Produtor
174,Cliente_174,72611368135,48926.737996786906,80.86418357917002,477.0946572185703,2020-08-26 01:55:22.390586,Médio Produtor
175,Cliente_175,58620201883,122908.07174561005,70.55597147734623,459.00979350174543,2024-03-04 01:55:22.390590,Médio Produtor
176,Cliente_176,18756528057,60278.00913158204,1.0,524.9794484127882,2023-06-08 01:55:22.390594,Grande Produtor
177,Cliente_177,26950981559,92788.16613782127,15.988063694402456,783.4862768610312,2021-12-12 01:55:22.390597,Pequeno Produtor
178,Cliente_178,36417250857,155563.63838100288,77.39563993398704,484.1877570533135,2022-01-06 01:55:22.390600,Grande Produtor
179,Cliente_179,23856254152,264453.0287788864,121.39588037314527,840.7377443933821,2024-07-15 01:55:22.390604,Médio Produtor
180,Cliente_180,61536028229,141596.9347479527,147.28420223069472,364.342637635926,2024-04-07 01:55:22.390607,Pequeno Produtor
181,Cliente_181,61615529973,20000.0,94.67646306586967,600.2732845163162,2024-05-14 01:55:22.390611,Pequeno Produtor
182,Cliente_182,49034497935,132439.04856971232,106.08325591775916,390.76158623904416,2023-09-11 01:55:22.390614,Pequeno Produtor
183,Cliente_183,34346258529,134884.16910798408,53.45015495224504,898.304673153328,2021-08-31 01:55:22.390618,Pequeno Produtor
184,Cliente_184,55218883316,129160.25527584464,77.54713811905003,628.2905462393333,2024-06-04 01:55:22.390621,Grande Produtor
185,Cliente_185,26501199448,74146.75726926999,51.96512231785659,480.6087628864209,2022-12-03 01:55:22.390625,Médio Produtor
186,Cliente_186,45964365679,142634.5014961941,26.346599745532686,701.3407865392128,2024-03-18 01:55:22.390628,Médio Produtor
187,Cliente_187,52523259032,63125.46810761138,1.0,841.9974918318669,2023-02-06 01:55:22.390632,Médio Produtor
188,Cliente_188,82478114629,32866.55178939336,48.40488889709313,887.1847374982353,2024-08-20 01:55:22.390635,Pequeno Produtor
189,Cliente_189,53053683266,84046.82982407746,78.40142814504269,810.1980466177847,2023-10-01 01:55:22.390639,Pequeno Produtor
190,Cliente_190,73151755445,112715.27230723925,47.61494992898908,727.9216185618657,2023-10-13 01:55:22.390642,Pequeno Produtor
191,Cliente_191,73199793678,110234.72666544758,104.24476457698741,607.5894795487612,2023-11-14 01:55:22.390645,Pequeno Produtor
192,Cliente_192,53292274078,189566.39107368124,1.0,397.0054470231931,2021-04-09 01:55:22.390649,Pequeno Produtor
193,Cliente_193,96790554072,170829.68029265836,142.8047963529228,491.2847452001994,2023-09-13 01:55:22.390652,Médio Produtor
194,Cliente_194,78562762040,86585.33351104209,154.78466313200022,877.1492050493459,2021-02-12 01:55:22.390656,Médio Produtor
