id_operacao,id_cooperativa,id_cliente,linha_credito,cultura,valor_operacao,data_contratacao,data_vencimento,taxa_juros,status,dias_atraso,regiao_x,estado_x,ano_contratacao,mes_contratacao,trimestre_contratacao,inadimplente,faixa_atraso,porte_operacao,nome_cliente,cpf_cnpj,renda_anual,area_propriedade,score_credito,data_cadastro,segmento,anos_relacionamento,categoria_score,porte_propriedade,nome,estado_y,regiao_y,valor_em_atraso,provisao
1,9,1925,Pronaf,Café,167290.00851884994,2024-06-10 01:55:22.165068,2026-04-25 01:55:22.202074,8.619606893387884,Ativo,0,Sul,MT,2024,6,2,0,Em dia,Médio,Cliente_1925,33518134156.0,197030.4229007228,73.0235663004827,708.0545139995265,2020-12-10 01:55:22.397266,Pequeno Produtor,4.5804243668720055,Bom,Média,Sicoob Regional 9,SP,Norte,0.0,836.4500425942497
2,25,1283,Investimento,Café,522306.0450822063,2024-07-27 01:55:22.165084,2025-10-27 01:55:22.202080,4.895687129519834,Liquidado,0,Sul,PR,2024,7,3,0,Em dia,Grande,Cliente_1283,57692993319.0,166947.46587331832,64.60637795903132,683.9560970555412,2021-09-04 01:55:22.394740,Grande Produtor,3.8466803559206024,Bom,Média,Sicoob Regional 25,GO,Sudeste,0.0,2611.5302254110316
3,4,2126,Investimento,Milho,225258.39929246125,2024-12-11 01:55:22.165090,2025-11-14 01:55:22.202085,11.130364499051518,Ativo,0,Norte,MG,2024,12,4,0,Em dia,Grande,Cliente_2126,75160646728.0,132869.14982803332,125.4100100123763,397.6141792709764,2021-09-23 01:55:22.397984,Pequeno Produtor,3.7946611909650922,Muito Baixo,Grande,Sicoob Metropolitano,PR,Sul,0.0,1126.2919964623063
4,40,4128,Pronaf,Cana-de-açúcar,310449.32841786416,2024-06-23 01:55:22.165095,2025-12-04 01:55:22.202089,6.985671604688225,Vencido,45,Sul,RS,2024,6,2,0,31-60 dias,Grande,Cliente_4128,70003201075.0,97303.63257897511,28.90015145331035,486.1312671460661,2023-09-03 01:55:22.404958,Pequeno Produtor,1.8507871321013005,Baixo,Média,Sicoob Regional 40,BA,Norte,0.0,9313.479852535924
5,24,324,Pronaf,Algodão,420080.27783942,2024-05-23 01:55:22.165099,2025-12-03 01:55:22.202092,5.071001132924147,Ativo,0,Sul,RS,2024,5,2,0,Em dia,Grande,Cliente_324,84327894557.0,135139.77297946854,59.30942991079085,615.0933936479457,2020-09-11 01:55:22.391121,Pequeno Produtor,4.826830937713894,Médio,Média,Sicoob Regional 24,BA,Sudeste,0.0,2100.4013891971
6,16,830,Comercialização,Café,322268.6869453815,2023-08-06 01:55:22.165103,2026-03-21 01:55:22.202096,4.9942081052516,Liquidado,0,Nordeste,MT,2023,8,3,0,Em dia,Grande,Cliente_830,82242951594.0,132734.5991850926,118.60997577882344,566.7124965868181,2023-09-23 01:55:22.393096,Médio Produtor,1.7960301163586585,Médio,Grande,Sicoob Regional 16,RS,Nordeste,0.0,1611.3434347269076
7,49,2070,Pronamp,Soja,428127.1195626615,2024-09-25 01:55:22.165107,2025-10-08 01:55:22.202100,6.897490443771341,Ativo,0,Centro-Oeste,MG,2024,9,3,0,Em dia,Grande,Cliente_2070,60537369305.0,102192.51639790575,132.34371319917932,782.2911893029445,2022-12-30 01:55:22.397781,Grande Produtor,2.5270362765229293,Excelente,Grande,Sicoob Regional 49,RS,Sudeste,0.0,2140.6355978133074
8,11,3413,Pronamp,Cana-de-açúcar,279033.56623982027,2024-12-21 01:55:22.165111,2026-01-10 01:55:22.202103,7.048357929880236,Vencido,104,Sudeste,GO,2024,12,4,1,Acima de 90 dias,Grande,Cliente_3413,63771373685.0,112264.92992757904,67.29325316977412,878.0071504043422,2023-08-29 01:55:22.402478,Médio Produtor,1.864476386036961,Excelente,Média,Sicoob Regional 11,GO,Norte,279033.56623982027,83710.06987194608
10,35,1149,Pronamp,Soja,414733.4473564963,2023-07-15 01:55:22.165118,2026-03-10 01:55:22.202110,10.122121241503107,Ativo,0,Sudeste,BA,2023,7,3,0,Em dia,Grande,Cliente_1149,57544070453.0,245537.40713413068,41.33882763767782,894.0778354994044,2023-10-26 01:55:22.394272,Médio Produtor,1.7056810403832992,Excelente,Média,Sicoob Regional 35,BA,Nordeste,0.0,2073.6672367824817
11,3,60,Comercialização,Cana-de-açúcar,294691.69089617865,2024-05-17 01:55:22.165122,2025-08-30 01:55:22.202113,9.25168359042584,Ativo,0,Sudeste,GO,2024,5,2,0,Em dia,Grande,Cliente_60,16567298968.0,73895.7168618803,29.854552429602,864.3934093510563,2021-08-06 01:55:22.390164,Pequeno Produtor,3.9260780287474333,Excelente,Média,Sicoob Cooplivre,SP,Sudeste,0.0,1473.4584544808934
12,35,4300,Custeio,Algodão,167660.44741161223,2025-04-26 01:55:22.165126,2026-01-20 01:55:22.202117,11.25720080495624,Vencido,178,Nordeste,SP,2025,4,2,1,Acima de 90 dias,Médio,Cliente_4300,42637601947.0,103919.00554070628,62.5887071286924,861.0731919855637,2023-05-13 01:55:22.405561,Médio Produtor,2.1601642710472277,Excelente,Média,Sicoob Regional 35,BA,Nordeste,167660.44741161223,50298.13422348367
13,15,2397,Comercialização,Soja,350778.9772009327,2024-08-04 01:55:22.165130,2026-05-23 01:55:22.202120,6.993772568038631,Ativo,0,Sudeste,BA,2024,8,3,0,Em dia,Grande,Cliente_2397,22116637501.0,191878.1011932989,64.86905868791578,700.2676832829901,2022-12-01 01:55:22.398937,Médio Produtor,2.6064339493497606,Bom,Média,Sicoob Regional 15,PR,Centro-Oeste,0.0,1753.8948860046635
14,35,2596,Comercialização,Algodão,529846.2917268511,2024-08-12 01:55:22.165133,2025-10-07 01:55:22.202124,13.014797913460049,Vencido,80,Norte,GO,2024,8,3,0,61-90 dias,Grande,Cliente_2596,80721455852.0,191550.5534786993,91.7119879676696,782.904606472028,2023-07-25 01:55:22.399640,Médio Produtor,1.9603011635865846,Excelente,Média,Sicoob Regional 35,BA,Nordeste,0.0,52984.62917268512
15,50,2820,Custeio,Café,280247.57457163866,2025-05-23 01:55:22.165137,2026-05-10 01:55:22.202127,9.452129003159676,Ativo,0,Centro-Oeste,SP,2025,5,2,0,Em dia,Grande,Cliente_2820,28869869572.0,188601.47042798664,89.01467828195646,667.4888116067286,2021-07-16 01:55:22.400420,Pequeno Produtor,3.9835728952772076,Bom,Média,Sicoob Regional 50,SP,Sudeste,0.0,1401.2378728581932
16,49,4803,Pronaf,Milho,296868.5843134748,2024-05-01 01:55:22.165140,2025-12-26 01:55:22.202131,6.349404755450001,Liquidado,0,Norte,SP,2024,5,2,0,Em dia,Grande,Cliente_4803,76892826918.0,203643.3129172157,40.41070940750113,376.395629006669,2022-09-24 01:55:22.407306,Pequeno Produtor,2.7926078028747434,Muito Baixo,Média,Sicoob Regional 49,RS,Sudeste,0.0,1484.342921567374
